"tit_projeto" "descricao" "autor_situacao"
"78" "PROC. 02964/05 - PDL 002/05" "Autoriza o prefeito municipal a ausentar-se do pais, de 10 a 16 de maio de 2005, para viajar a alemanha." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"79" "PROC. 01681/05 - PDL 001/05" "Aprova as contas da prefeitura municipal de porto alegre referentes ao exercicio de 1999." "Autor
COMISS ECONOM FINANCAS ORCAM E MERCOSUL
Situação
ARQUIVADO"
"80" "PROC. 04381/04 - PDL 007/04" "Autoriza o prefeito municipal a ausentar-se do pais, de 11 a 16 de setembro de 2004, para viajar a espanha." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"81" "PROC. 04076/04 - PDL 006/04" "Susta o decreto n. 14475, de 13 de fevereiro de 2004, que permite o uso de proprio municipal a sociedade recreativa, beneficente e cultural banda itinerante, de acordo com o proc. adm. n. 001.003982.0" "Autor
BETO MOESCH
Situação
ARQUIVADO"
"82" "PROC. 03047/04 - PDL 005/04" "Susta o decreto n. 14530, de 14 de abril de 2004,que dispoe sobre as areas de interesse cultural previstas no artigo 92 do pddua, explicita parametrospara aprovacao de projetos nas respectivas areas," "Autor
WILTON ARAUJO
Situação
ARQUIVADO"
"83" "PROC. 02257/04 - PDL 004/04" "Autoriza o prefeito municipal a ausentar-se do pais, de 29 de abril a 9 de maio de 2004, para viajar a franca e a espanha." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"84" "PROC. 01921/04 - PDL 003/04" "Ficam aprovadas as contas da prefeitura municipalde porto alegre, referentes ao exercicio de 1996(tarso genro)" "Autor
COMISSAO DE ECONOM, FINANCAS E ORCAMENTO
Situação
ARQUIVADO"
"85" "PROC. 01865/04 - PDL 002/04" "Aprova as contas da prefeitura municipal de portoalegre referentes ao exercicio de 1998(raul pont)." "Autor
COMISSAO DE ECONOM, FINANCAS E ORCAMENTO
Situação
ARQUIVADO"
"86" "PROC. 00175/04 - PDL 001/04" "Autoriza o prefeito municipal a ausentar-se do pais, de 14 a 23 de janeiro de 2004, para viajar a india." "Autor
COMISSAO REPRESENTATIVA
Situação
ARQUIVADO"
"87" "PROC. 04871/03 - PDL 002/03" "Autoriza o prefeito municipal a ausentar-se do pais, de 18 a 20 de setembro de 2003, para viajar ao uruguai." "Autor
COMISSAO DE JUSTICA E REDACAO
Situação
ARQUIVADO"
"88" "PROC. 04343/03 - PDL 001/03" "Susta o paragrafo 1 do art 2 do decreto num 12243de 8.2.99, com a redacao dada pelo decreto 12345,de 24.5.99, e seus efeitos (carteira para acompanhante de deficiente fisico) ." "Autor
WILTON ARAUJO
Situação
ARQUIVADO ART 107"
"89" "PROC. 00078/90 - PDL 001/90" "Autoriza o senhor prefeito municipal de porto alegre a afastar-se do municipio. (12 a 30.01.90)" "Autor
COMISSAO REPRESENTATIVA
Situação
ARQUIVADO"
"90" "PROC. 01952/95 - PDL 004/95" "Aprova as contas da prefeitura municipal de portoalegre, referentes ao exercicio de 1991." "Autor
